MAPE,MAE,MSE,R2,Tiempo
4.856218,1.001053,1.683044,1.160271,0.114000
4.822762,1.038663,1.838433,0.574961,0.113000
4.581108,0.968718,1.615882,0.846640,0.114000
4.970642,1.070139,1.939520,0.545478,0.115000
5.194650,1.126872,2.117103,0.389658,0.113000
4.849309,1.014509,1.736256,0.953773,0.115000
7.363666,1.466221,3.201323,1.891402,0.113000
4.923922,1.025189,1.761521,0.992865,0.114000
5.216352,1.112439,2.072615,0.649684,0.113000
6.447249,1.298902,2.672230,1.390819,0.111000
4.674250,0.979214,1.636803,0.987375,0.113000
5.340906,1.090954,1.963072,1.321552,0.113000
4.812408,0.993288,1.663837,1.136419,0.115000
5.115921,1.057384,1.857974,1.127997,0.113000
4.801612,1.008655,1.722599,0.963933,0.114000
4.711941,0.984279,1.648126,1.030649,0.114000
4.668039,0.979174,1.639334,0.953559,0.114000
6.370811,1.340662,2.859630,0.732390,0.112000
6.233927,1.254561,2.449820,1.682845,0.113000
4.744191,1.008421,1.727821,0.729852,0.114000
6.797012,1.361937,2.885609,1.583378,0.112000
4.892189,1.054883,1.877436,0.509951,0.113000
4.795881,0.995820,1.682334,1.085034,0.114000
4.960418,1.046196,1.826032,0.757957,0.113000
4.977764,1.018872,1.734960,1.281118,0.114000
5.204992,1.063088,1.860823,1.262144,0.114000
4.692176,1.003289,1.723337,0.668593,0.113000
5.894473,1.191866,2.246082,1.529108,0.112000
4.540280,0.949877,1.556950,1.022374,0.114000
4.967294,1.059997,1.893708,0.721179,0.113000
5.025171,1.034240,1.790087,1.277656,0.112000
7.489058,1.489878,3.337575,1.872999,0.111000
5.277827,1.125696,2.106046,0.530329,0.111000
5.562399,1.124974,2.043326,1.383415,0.114000
5.762842,1.213682,2.390447,0.734232,0.113000
4.843464,1.047398,1.855968,0.456816,0.114000
4.701844,0.982668,1.645781,1.016928,0.115000
5.272298,1.144611,2.160222,0.283096,0.113000
4.923076,1.028013,1.773100,0.922858,0.114000
4.851800,1.044871,1.847970,0.502310,0.116000
4.680193,0.997390,1.700243,0.736450,0.116000
4.924890,1.027379,1.774855,0.988067,0.116000
4.817301,0.996419,1.676870,1.149589,0.114000
6.030887,1.242605,2.493955,1.117052,0.112000
5.140678,1.044449,1.803203,1.373750,0.114000
4.934015,1.033816,1.800482,0.929209,0.113000
4.961034,1.071076,1.929888,0.494296,0.113000
4.830682,0.994887,1.675327,1.233095,0.114000
5.318226,1.084741,1.932498,1.345678,0.111000
4.728880,1.004669,1.718913,0.774063,0.115000
4.956565,1.036117,1.796343,0.968515,0.113000
5.014072,1.036100,1.792435,1.085169,0.113000
4.885410,1.007567,1.713925,1.172656,0.114000
6.896789,1.374776,2.920536,1.744939,0.113000
6.508597,1.302351,2.614870,1.689170,0.113000
4.819837,1.014308,1.738470,0.882827,0.114000
4.693700,1.007394,1.740199,0.629834,0.113000
5.105059,1.040517,1.790021,1.374168,0.114000
4.581074,0.969771,1.620707,0.858357,0.117000
5.080131,1.048244,1.839987,1.136838,0.113000
5.166775,1.061641,1.865244,1.259514,0.113000
5.134598,1.095255,1.997910,0.631504,0.113000
5.004296,1.035108,1.799325,1.127936,0.113000
7.700812,1.532642,3.443895,1.950755,0.112000
4.578102,0.961866,1.593368,0.943163,0.115000
5.163363,1.058698,1.860243,1.255413,0.114000
4.706195,1.000846,1.711653,0.792721,0.114000
4.992629,1.072605,1.954055,0.536332,0.112000
4.553280,0.973529,1.636159,0.764365,0.114000
4.887950,1.008314,1.713355,1.160264,0.119000
5.855685,1.277836,2.634965,0.128295,0.112000
4.605580,0.962248,1.590458,1.041766,0.114000
6.427234,1.286139,2.548841,1.695548,0.113000
4.816302,1.022192,1.769715,0.728774,0.113000
5.235358,1.079014,1.927075,1.148393,0.113000
5.420076,1.111750,2.025705,1.199104,0.113000
4.902866,1.012314,1.720545,1.104266,0.114000
5.090289,1.076531,1.940304,0.788684,0.113000
5.403756,1.165848,2.245571,0.445604,0.113000
5.193195,1.117040,2.070560,0.501461,0.113000
5.000452,1.071192,1.920922,0.581307,0.112000
4.759572,0.990122,1.669108,1.059674,0.114000
6.093023,1.276051,2.616527,0.737318,0.112000
5.912581,1.255229,2.574727,0.534455,0.111000
4.826103,1.025169,1.776855,0.686866,0.113000
5.013037,1.028348,1.760737,1.266906,0.114000
5.613573,1.215963,2.451542,0.313780,0.113000
4.735609,1.002272,1.715448,0.854297,0.113000
5.105431,1.094516,2.017855,0.606229,0.112000
4.618380,0.989530,1.680300,0.650112,0.114000
5.656834,1.141002,2.086164,1.518310,0.114000
5.257943,1.138806,2.153315,0.364619,0.113000
5.594283,1.138565,2.125136,1.368774,0.114000
4.669332,0.977842,1.636881,1.041052,0.114000
5.681240,1.158109,2.165097,1.464662,0.113000
5.244210,1.071244,1.888442,1.301495,0.113000
4.768394,0.991358,1.675034,1.082950,0.114000
7.371235,1.471006,3.283461,1.870889,0.111000
4.706478,1.000729,1.707366,0.753998,0.113000
5.870654,1.188652,2.236376,1.466763,0.113000
4.782488,1.015447,1.757751,0.787984,0.114000
4.426726,0.939061,1.534192,0.838541,0.114000
4.754527,0.982432,1.642088,1.179461,0.113000
4.954601,1.022355,1.755204,1.169615,0.112000
5.108720,1.087332,1.975466,0.603782,0.113000
4.634424,1.002448,1.727221,0.551538,0.115000
6.117079,1.324751,2.844651,0.241301,0.112000
5.729343,1.157017,2.150134,1.491302,0.114000
5.356877,1.088122,1.925420,1.426216,0.112000
6.742386,1.356066,2.902436,1.324104,0.121000
7.214470,1.435150,3.110465,1.839665,0.112000
4.850725,1.024303,1.774933,0.914744,0.113000
4.792708,1.025378,1.790505,0.600776,0.116000
5.677712,1.146966,2.099836,1.547246,0.114000
4.803050,1.018262,1.759713,0.776265,0.112000
5.146318,1.063902,1.876971,1.141148,0.113000
4.857327,1.004690,1.697647,1.124347,0.114000
5.084202,1.039245,1.791011,1.321984,0.112000
4.852491,1.033441,1.810811,0.714082,0.113000
4.938386,1.047245,1.844674,0.752634,0.113000
5.190372,1.078653,1.924858,1.039507,0.113000
4.808581,1.017605,1.759378,0.836857,0.111000
6.987403,1.499212,3.587992,0.327647,0.110000
4.646225,0.990781,1.685558,0.742117,0.119000
5.013899,1.050358,1.845123,0.960116,0.112000
5.001966,1.064289,1.898606,0.625705,0.112000
5.067131,1.040697,1.798316,1.174127,0.113000
7.885869,1.555972,3.661291,1.918189,0.113000
6.424205,1.405903,3.068406,-0.048983,0.112000
4.957753,1.052054,1.860909,0.729416,0.114000
4.571878,0.954206,1.567105,1.009309,0.114000
4.806867,1.016776,1.751886,0.827652,0.112000
4.960973,1.021667,1.746736,1.152748,0.114000
4.593248,0.978512,1.638189,0.713109,0.113000
5.324968,1.140717,2.161913,0.529160,0.111000
5.963154,1.286697,2.699724,0.291871,0.111000
4.827022,1.014017,1.738897,0.917001,0.113000
4.839305,1.044813,1.843871,0.510336,0.112000
4.718939,1.009156,1.741669,0.661005,0.114000
5.029684,1.038787,1.793681,1.083168,0.114000
5.070473,1.041107,1.808462,1.225203,0.114000
5.245418,1.070887,1.894262,1.349708,0.114000
5.599923,1.137538,2.093219,1.446600,0.113000
4.611484,0.956717,1.567294,1.097604,0.113000
5.746852,1.167583,2.184014,1.215865,0.112000
4.986142,1.042225,1.820087,0.954317,0.113000
5.427094,1.104723,1.988313,1.330647,0.114000
4.496738,0.943099,1.543189,1.004571,0.114000
5.279690,1.086430,1.942982,1.190433,0.113000
4.512589,0.953107,1.563899,0.849373,0.113000
5.285799,1.075805,1.890691,1.389370,0.112000
4.614822,0.973508,1.628454,0.914925,0.113000
5.895572,1.180954,2.202159,1.562032,0.112000
4.737781,1.010994,1.746564,0.699595,0.113000
5.078279,1.075162,1.928444,0.739841,0.111000
5.052725,1.077868,1.946010,0.643612,0.111000
5.577004,1.140794,2.128151,1.281760,0.112000
5.263523,1.137776,2.165367,0.406012,0.111000
6.397469,1.313105,2.744089,1.078391,0.110000
4.577610,0.957906,1.579006,1.012587,0.113000
5.053496,1.037828,1.782812,1.229038,0.112000
4.780020,1.020036,1.773706,0.732354,0.112000
4.709804,0.985851,1.644626,0.938429,0.113000
4.691387,0.995934,1.692857,0.824242,0.113000
4.453368,0.934461,1.519026,0.955355,0.113000
5.389521,1.094403,1.953358,1.387162,0.113000
5.075026,1.041537,1.798240,1.244171,0.112000
4.745455,1.008533,1.729395,0.778367,0.114000
4.727056,0.983520,1.636404,1.006801,0.113000
4.717348,1.006245,1.733260,0.727363,0.114000
4.591933,0.978256,1.644932,0.733760,0.113000
4.912808,1.057732,1.884452,0.487851,0.126000
5.029371,1.088894,1.988833,0.438353,0.112000
